state,action
[ 1 -1  1  1  0 -1  0  0  0],3.4867844010000004
[ 1 -1  1  0  1 -1  0  0  0],5.845851000000001
[ 1 -1  1  0  0 -1  1  0  0],5.845851000000001
[ 1 -1  1  0  0 -1  0  1  0],-0.3835462841100001
[ 1 -1  1  0  0 -1  0  0  1],-4.930863715890001
[ 1 -1  1  1  1 -1 -1  0  0],-0.6430436100000001
[ 1 -1  1  1  0 -1 -1  1  0],-0.5845851000000001
[ 1 -1  1  1  0 -1 -1  0  1],5.845851000000001
[ 1 -1  1  1  1 -1 -1 -1  1],8.991
[ 1 -1  1  1  1 -1 -1 -1  0],7.938810000000001
[ 1 -1  1  1  0 -1 -1  0  0],4.3046721
[ 1 -1  1  0  0 -1  0  0  0],2.82429536481
[ 0  0  1  0  0 -1  0  0  0],5.105743347770368
[ 0  0  1  1  0  0 -1  0  0],-3.4867844010000004
[ 0  0  1  0  1  0 -1  0  0],-3.064785941954523
[ 0  0  1  0  0  1 -1  0  0],0
[ 0  0  1  0  0  0 -1  1  0],-0.2516447170045711
[ 0  0  1  0  0  0 -1  0  1],5.314711163510494
[ 1  1  1 -1  0  0 -1  0  0],8.91
[ 0  1  1 -1  1  0 -1  0  0],0
[ 0  1  1 -1  0  1 -1  0  0],0
[ 0  1  1 -1  0  0 -1  1  0],0
[ 0  1  1 -1  0  0 -1  0  1],0
[ 0  1  1 -1  0  0 -1  0  0],6.561
[ 0  0  1  0  0  0 -1  0  0],4.4899741188851845
[ 1  0  1  0  0  0  0 -1  0],-5.3144100000000005
[ 0  0  1  1  0  0  0 -1  0],-5.04728744703939
[ 0  0  1  0  1  0  0 -1  0],5.098530719234366
[ 0  0  1  0  0  1  0 -1  0],-4.736963635350391
[ 0  0  1  0  0  0  1 -1  0],0
[ 0  0  1  0  0  0  0 -1  1],-0.05078647925001374
[ 1 -1  1  1  0  0  0 -1  0],-8.1
[ 1 -1  1  0  1  0  0 -1  0],0
[ 1 -1  1  0  0  1  0 -1  0],-7.751321559900002
[ 1 -1  1  0  0  0  1 -1  0],-7.5685590000000005
[ 1 -1  1  0  0  0  0 -1  1],5.3144100000000005
[ 1 -1  1  0  0  0  0 -1  0],-6.7866327900000005
[ 0  0  1  0  0  0  0 -1  0],3.708560321180064
[-1  0  0  1  1  0  0  0  0],-2.779774576565567
[-1  0  0  1  0  1  0  0  0],3.8703306851100012
[-1  0  0  1  0  0  1  0  0],-5.31441
[-1  0  0  1  0  0  0  1  0],-3.6392750813148944
[-1  0  0  1  0  0  0  0  1],-5.302418948444962
[-1  1 -1  1  1  0  0  0  0],-0.34867844010000015
[-1  1 -1  1  0  1  0  0  0],-0.34867844010000015
[-1  1 -1  1  0  0  1  0  0],-5.550316659899999
[-1  1 -1  1  0  0  0  1  0],-4.965731559900001
[-1  1 -1  1  0  0  0  0  1],-5.3144100000000005
[-1  1 -1  1  1 -1  1  0  0],-0.5314410000000002
[-1  1 -1  1  1 -1  0  1  0],0
[-1  1 -1  1  1 -1  0  0  1],-0.5904840951000001
[-1  1 -1  1  1 -1  1 -1  1],-0.9
[-1  1 -1  1  1 -1  1 -1  0],-0.8084529810000001
[-1  1 -1  1  1 -1  0  0  0],-0.43046721000000016
[-1  1 -1  1  0  0  0  0  0],-0.28242953648100017
[-1  0  0  1  0  0  0  0  0],3.1164376530505824
[-1  0  0  0  1  1  0  0  0],5.8989951000000005
[-1  0  0  0  1  0  1  0  0],-5.322005386614007
[-1  0  0  0  1  0  0  1  0],-3.4867844010000004
[-1  0  0  0  1  0  0  0  1],-3.138105960900001
[-1  1 -1  0  1  1  0  0  0],-0.34867844010000015
[-1  1 -1  0  1  0  1  0  0],-0.3049172735324974
[-1  1 -1  0  1  0  0  1  0],8.91
[-1  1 -1  0  1  0  0  0  1],-5.3144100000000005
[-1  1 -1 -1  1  1  1  0  0],-0.5314410000000002
[-1  1 -1 -1  1  1  0  1  0],8.1
[-1  1 -1 -1  1  1  0  0  1],-8.1
